Watching for file changes with StatReloader
Watching for file changes with StatReloader
Not Found: /.well-known/appspecific/com.chrome.devtools.json
"GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 2781
"GET /api/users/ HTTP/1.1" 200 18135
Not Found: /.well-known/appspecific/com.chrome.devtools.json
"GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 2781
"GET /api/users/ HTTP/1.1" 200 18135
"GET /admin/ HTTP/1.1" 200 11077
"GET / HTTP/1.1" 200 6864
"GET / HTTP/1.1" 200 14537
Internal Server Error: /api/conversations/
Traceback (most recent call last):
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
               ^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\django\views\decorators\csrf.py", line 65, in _view_wrapper
    return view_func(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\rest_framework\viewsets.py", line 125, in view
    return self.dispatch(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\rest_framework\views.py", line 515, in dispatch
    response = self.handle_exception(exc)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\rest_framework\views.py", line 475, in handle_exception
    self.raise_uncaught_exception(exc)
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\rest_framework\views.py", line 486, in raise_uncaught_exception
    raise exc
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\rest_framework\views.py", line 512, in dispatch
    response = handler(request, *args, **kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\rest_framework\mixins.py", line 38, in list
    queryset = self.filter_queryset(self.get_queryset())
                                    ^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\chats\views.py", line 74, in get_queryset
    ).distinct().order_by('-updated_at')
                 ^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\django\db\models\query.py", line 1722, in order_by
    obj.query.add_ordering(*field_names)
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\django\db\models\sql\query.py", line 2291, in add_ordering
    self.names_to_path(item.split(LOOKUP_SEP), self.model._meta)
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\django\db\models\sql\query.py", line 1805, in names_to_path
    raise FieldError(
django.core.exceptions.FieldError: Cannot resolve keyword 'updated_at' into field. Choices are: conversation_id, created_at, messages, participants
"GET /api/conversations/ HTTP/1.1" 500 126313
"GET /api/ HTTP/1.1" 200 6158
"GET /admin/ HTTP/1.1" 200 11077
Method Not Allowed: /api/token/
"GET /api/token/ HTTP/1.1" 405 7769
Internal Server Error: /api/conversations/
Traceback (most recent call last):
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
               ^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\django\views\decorators\csrf.py", line 65, in _view_wrapper
    return view_func(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\rest_framework\viewsets.py", line 125, in view
    return self.dispatch(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\rest_framework\views.py", line 515, in dispatch
    response = self.handle_exception(exc)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\rest_framework\views.py", line 475, in handle_exception
    self.raise_uncaught_exception(exc)
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\rest_framework\views.py", line 486, in raise_uncaught_exception
    raise exc
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\rest_framework\views.py", line 512, in dispatch
    response = handler(request, *args, **kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\rest_framework\mixins.py", line 38, in list
    queryset = self.filter_queryset(self.get_queryset())
                                    ^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\chats\views.py", line 74, in get_queryset
    ).distinct().order_by('-updated_at')
                 ^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\django\db\models\query.py", line 1722, in order_by
    obj.query.add_ordering(*field_names)
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\django\db\models\sql\query.py", line 2291, in add_ordering
    self.names_to_path(item.split(LOOKUP_SEP), self.model._meta)
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\django\db\models\sql\query.py", line 1805, in names_to_path
    raise FieldError(
django.core.exceptions.FieldError: Cannot resolve keyword 'updated_at' into field. Choices are: conversation_id, created_at, messages, participants
"GET /api/conversations/ HTTP/1.1" 500 126313
"GET /api/messages/ HTTP/1.1" 200 16865
"GET /api/users/ HTTP/1.1" 200 18135
"GET /api/ HTTP/1.1" 200 6158
"GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 304 0
"GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 304 0
"GET /static/rest_framework/css/default.css HTTP/1.1" 304 0
"GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 304 0
"GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 304 0
"GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 304 0
"GET /static/rest_framework/js/default.js HTTP/1.1" 304 0
"GET /static/rest_framework/css/prettify.css HTTP/1.1" 304 0
"GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 304 0
"GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 304 0
"GET /static/rest_framework/js/csrf.js HTTP/1.1" 304 0
Method Not Allowed: /api/token/
"GET /api/token/ HTTP/1.1" 405 7769
Internal Server Error: /api/conversations/
Traceback (most recent call last):
  File "C:\Users\USER\My-Projects\alx-backend-python\Django-Middleware-0x03\venv\Lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
               ^^^^^^^^^^^^^^^^^^^^^
